	num_children	level	max_width	name
191	2	7	0.00988949704	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Petrobacter;s__succinatimandens
192	1	6	0.0	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus
193	345	3	2.52294476696	k__Archaea;p__Euryarchaeota;c__Halobacteria
194	1	7	0.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptosporangiaceae;g__Nonomuraea;s__roseoviolacea
195	397	2	2.0931775243099997	k__Bacteria;p__Lentisphaerae
196	10	3	2.0931775243099997	k__Bacteria;p__GN02;c__IIB17
197	33	5	2.0931775243099997	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae
198	53	3	2.0931775243099997	k__Bacteria;p__AD3;c__ABS-6
199	3	3	2.0931775243099997	k__Bacteria;p__KSB3;c__GN06
200	206	3	2.0931775243099997	k__Bacteria;p__OP8;c__OP8_1
201	1	7	0.0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinilabiaceae;g__Cytophaga;s__fermentans
202	2	7	0.1633144107	k__Bacteria;p__Cyanobacteria;c__Gloeobacterophycideae;o__Gloeobacterales;f__Gloeobacteraceae;g__Gloeobacter;s__violaceus
203	1	7	0.0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfohalobiaceae;g__Desulfohalobium;s__retbaense
204	4	6	0.35440409	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Jannaschia
205	8	6	0.70042700515	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella
206	4	6	0.127199934	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Alcaligenes
207	8453	2	2.0931775243099997	k__Bacteria;p__Chloroflexi
208	4	6	1.19448396413	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__Ruminobacter
209	1	4	0.0	k__Archaea;p__Euryarchaeota;c__DSEG;o__HydGC-84-221A
210	36	4	0.81662317095	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__SHA-43
211	109	5	0.6941355924999999	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae
212	3	6	1.70754930896	k__Bacteria;p__Thermotogae;c__Thermotogae;o__Thermotogales;f__Thermotogaceae;g__S1
213	497	5	1.7537635152900002	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
214	12	5	1.19448396413	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae
