,Animal surface,Animal corpus,Animal secretion,Animal proximal gut,Animal distal gut,Plant surface,Plant corpus,Plant rhizosphere,Soil (non-saline),Sediment (non-saline),Sediment (saline),Surface (non-saline),Surface (saline),Aerosol (non-saline),Water (non-saline),Water (saline),Intertidal (saline),Hypersaline (saline),Sterile water blank,Mock community
o__Chlamydiales(1198),0.011762680359238347,0.003391595419976054,0.009121549667066705,0.0062266475872485875,0.0036198675352166454,0.004590984974958263,0.009434439135795614,0.11466663269856724,0.16693908716052813,0.0792755833098435,0.11947903980386274,0.12451004453073662,0.04041945811561838,0.005374295323123078,0.2589347806164962,0.04127946846400537,0.0,0.0009738452977184192,0.0,0.0
o__Sva0725(388),0.009627552668789783,0.004581901489117983,0.0046653242885608594,0.000859106529209622,0.0,0.0298680343139106,0.002326884527271125,0.08203344035026172,0.1782826297949883,0.08597828684692106,0.2997834264955031,0.061458644416966454,0.13039372058149676,0.007254742918402712,0.03222786098871286,0.03882752413680249,0.0,0.031830919653084606,0.0,0.0
o__Armatimonadales(108),0.08036047536826657,0.0030864197530864196,0.002859477124183007,0.0,0.0005446623093681917,0.00013041210224308815,0.008085209392398936,0.12544640745470886,0.32887469944697045,0.07676247181621809,0.009879119251402333,0.22121640162756256,0.007920683681420945,0.029581811858807167,0.10331005751329954,0.0019416913000637568,0.0,0.0,0.0,0.0
o__Legionellales(1586),0.010488679256813592,0.0033893544919223143,0.004576478375985122,0.002249820516540377,0.01058658843800403,0.004524285135049678,0.006652605579052697,0.1806446369794958,0.23719348401886906,0.06637620267640741,0.06953415181234744,0.08838694546560641,0.04941246441387198,0.009826308679311724,0.2181525381224357,0.036218991137067565,0.0,0.0017864649012189994,0.0,0.0
o__MIZ46(547),0.012895425665881787,0.0017755203533429589,0.006802883926058681,0.0016824666880265362,0.005037868895272917,0.00589473979003092,0.01735954044454552,0.1754848761186666,0.2215565022099019,0.10384555709303601,0.017991640067972745,0.052908302995571053,0.07002769761538007,0.004594477359360914,0.2800508365235022,0.022091664253449193,0.0,0.0,0.0,0.0
o__FAC87(186),0.008960573476702509,0.00044802867383512545,0.0,0.0,0.006720430107526882,0.002688172043010753,0.005376344086021506,0.10394380112122047,0.2517363759299243,0.1812062937062937,0.029535428728977117,0.09733742959549412,0.06455278592375366,0.0,0.2221807165355552,0.02531362007168459,0.0,0.0,0.0,0.0
o__Holophagales(156),0.0077905890405890405,0.0,0.00022893772893772894,0.0,0.0,0.01717032967032967,0.0,0.19777619500476593,0.06180498538059581,0.18769139207465851,0.3313624459001172,0.006787359428478936,0.03932338494838495,0.006495726495726497,0.128867036500798,0.014701617826617826,0.0,0.0,0.0,0.0
o__[Fimbriimonadales](319),0.020351620551257565,0.0,0.00915588905088516,0.0,0.0038871473354231962,0.0,0.038989052788863394,0.25497686126449337,0.21060798504517378,0.15537805153220735,0.051507014893066215,0.08439658875572324,0.04607643192773046,0.005778474399164052,0.11113376879653174,0.007761113659480263,0.0,0.0,0.0,0.0
o__AKAU3564(209),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1470467176353967,0.06251196575448403,0.3973457885759699,0.23546967661387724,0.004784688995215311,0.0514980633401686,0.0,0.022293201613938104,0.03359535201640464,0.0,0.045454545454545456,0.0,0.0
o__Herpetosiphonales(24),0.03472222222222222,0.08333333333333333,0.010416666666666666,0.013888888888888888,0.0,0.0,0.020833333333333332,0.14583333333333334,0.513888888888889,0.041666666666666664,0.0,0.03125,0.0,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.0
o__[Saprospirales](2737),0.053832981062389686,0.005143214785862432,0.01792766457797801,0.028243097738028036,0.008044544067051296,0.12031851328213765,0.02300946575925732,0.06250292913893102,0.12726021267561402,0.0852971195149061,0.11171413854553,0.07222194250615196,0.09568167048736241,0.03272788947348536,0.08142222693211822,0.06170271819706447,0.0,0.012949671256131832,0.0,0.0
o__PHOS-HD29(182),0.02197802197802198,0.000422654268808115,0.0,0.0007326007326007326,0.0,0.09267399267399268,0.012909471480900051,0.07770549048021574,0.12686420722135008,0.11934763953994722,0.13487604657247515,0.14432160330511976,0.04834379905808477,0.005494505494505495,0.17308945175703416,0.04124051543694401,0.0,0.0,0.0,0.0
o__Bdellovibrionales(1388),0.02867035011303159,0.0039945925973218725,0.009712895866001655,0.010667752481775232,0.0038081948380607462,0.08883206640539046,0.01283601343065152,0.10990578912250264,0.11834972260281088,0.10156267510119256,0.14153954458298218,0.06152505602516919,0.08763598033035208,0.010480764806488494,0.14961745785178912,0.0562982235755077,0.0,0.004562920268972141,0.0,0.0
o__CL500-15(300),0.009710259426563774,0.0,0.0002380952380952381,0.0,0.0033333333333333335,0.020244221665274297,0.0028030303030303033,0.05686370596095998,0.11711049986541976,0.16050662148085085,0.31696959361911176,0.05046569280417712,0.08178865451935462,0.006666666666666667,0.05636969242774196,0.07826685025214437,0.0,0.03866308243727599,0.0,0.0
o__Chthonomonadales(80),0.0,0.0017857142857142852,0.0,0.012499999999999997,0.0,0.013890624999999998,0.006249999999999999,0.24604939669837803,0.465153452111697,0.03157887995740818,0.005215186403508771,0.13213313652073733,0.0017857142857142852,0.010416666666666664,0.07274122807017543,0.0004999999999999999,0.0,0.0,0.0,0.0
o__[Entotheonellales](252),0.016232227577776568,0.0,6.505334374186833e-05,0.001984126984126984,0.0021043771043771043,0.013479172892240442,0.011273448773448774,0.08537735626690744,0.30689789877239865,0.16234868038362155,0.16272245813801287,0.07220347621159784,0.06478272366568212,0.026447475866080518,0.043935269459212806,0.02181893373345364,0.0,0.008327320827320827,0.0,0.0
o__wb1_H11(46),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13377121599627997,0.29757808261644575,0.21215890391453948,0.16745449949443883,0.03852108036890646,0.04470845972362657,0.0,0.05145993179880649,0.02173913043478261,0.0,0.03260869565217392,0.0,0.0
