,Animal surface,Animal corpus,Animal secretion,Animal proximal gut,Animal distal gut,Plant surface,Plant corpus,Plant rhizosphere,Soil (non-saline),Sediment (non-saline),Sediment (saline),Surface (non-saline),Surface (saline),Aerosol (non-saline),Water (non-saline),Water (saline),Intertidal (saline),Hypersaline (saline),Sterile water blank,Mock community
f__[Pedosphaeraceae](63),0.004845446950710109,0.0,0.0,0.0007936507936507938,0.0,0.005900308841485313,0.027513227513227514,0.20862868164209755,0.23943002752157994,0.2288853925408548,0.09196174196174196,0.041984747115220364,0.05070546737213404,0.021164021164021166,0.06023827652900335,0.017949010054273216,0.0,0.0,0.0,0.0
f__Syntrophobacteraceae(323),0.007200255654969202,0.00018196955873628367,0.006166779471745512,0.0033811308456900752,0.00041833731973991024,0.006562237544909948,0.006921660815047244,0.15643749669946594,0.2657268384901353,0.20281122278711708,0.057497143886621305,0.10878504261485902,0.03673073536707843,0.004057602099425095,0.07650269399479649,0.059305408811760774,0.0,0.0013134440379022417,0.0,0.0
f__auto67_4W(211),0.010016079854094268,0.0,0.01304660123786636,0.0,0.0,0.00031365383435846107,0.008019916597675914,0.17065527812810025,0.2753434724194766,0.23631072527041905,0.06796318396250464,0.05575847892243091,0.015287650978804095,0.0049333085274172505,0.11224876108900264,0.030102889177849566,0.0,0.0,0.0,0.0
f__Haliangiaceae(602),0.00981831175783803,0.006164636397194538,0.010370692455118896,0.002457726763803283,6.152331733727083e-05,0.03899660514992575,0.0022291732235419906,0.11734286010274975,0.31470883725884774,0.20350305351633274,0.08446380092653281,0.09039459429964958,0.030018004314631752,0.006653949000439991,0.057476815177026096,0.015787921322418536,0.0,0.009551495016611298,0.0,0.0
f__[Entotheonellaceae](231),0.017657547370662125,0.0,0.0,0.0021645021645021645,0.002295684113865932,0.014704552246080483,0.012298307752853207,0.08624455998453545,0.33382899515508807,0.16515587713965035,0.12336461045087532,0.07827446853404764,0.0637741046831956,0.02885179185390602,0.03900086032244354,0.02329978823485317,0.0,0.009084349993440903,0.0,0.0
f__Ellin515(95),0.03500686257436462,0.0,0.006709332855949397,0.011554826500380037,0.0038024897895814116,0.0197920977502269,0.012567440105640443,0.21136991765535404,0.37214535064369825,0.16464510522497022,0.055694353260396755,0.020471486321362236,0.00046848098386491045,0.023218584756398545,0.03524855899409981,0.027305112583712356,0.0,0.0,0.0,0.0
f__0319-6A21(87),0.0014383035528242707,9.421518748822311e-05,0.026553408799729006,0.0,0.005747126436781609,0.005747126436781609,0.019034380805954036,0.19479620061094632,0.3737175862585112,0.16541560631807362,0.011781609195402299,0.04089033358845776,0.004600177200246512,0.018378172450825143,0.12556226671044254,0.006243486447535799,0.0,0.0,0.0,0.0
f__Polyangiaceae(351),0.017720370993317275,0.0014245014245014244,0.026678671832240684,0.002730294396961063,0.0,0.0028490028490028487,0.018906582772035205,0.1709775802943993,0.3493008314921804,0.15957381407063875,0.04936895234905973,0.0692068897859813,0.021196501869793147,0.02052698667340064,0.07238130723430557,0.017157711962182656,0.0,0.0,0.0,0.0
f__RB40(152),0.02799477888915191,0.0,0.03072687880094501,0.0,0.0,0.0002741228070175438,0.007044207914326759,0.14130818995955255,0.3636086817310267,0.16402357667805717,0.03346906751587809,0.06575258585383205,0.05261247285669108,0.01736111111111111,0.08597821040272527,0.009846115479684696,0.0,0.0,0.0,0.0
f__Solibacteraceae(254),0.005878547983495697,0.0003712529354883271,0.0118753823423,0.0007682740177294315,0.004088431253785585,0.012411570888294796,0.02641946025941667,0.11957987456562764,0.4463473705231463,0.14116294193592957,0.027317937267817775,0.0735011740828391,0.011443614926414733,0.020796341228924122,0.060687479411315845,0.03735034637747442,0.0,0.0,0.0,0.0
