,Animal surface,Animal corpus,Animal secretion,Animal proximal gut,Animal distal gut,Plant surface,Plant corpus,Plant rhizosphere,Soil (non-saline),Sediment (non-saline),Sediment (saline),Surface (non-saline),Surface (saline),Aerosol (non-saline),Water (non-saline),Water (saline),Intertidal (saline),Hypersaline (saline),Sterile water blank,Mock community
p__Chloroflexi(8453),0.014565119434200911,0.004674880276843026,0.007501104567926933,0.006647398163229393,0.001391765221202605,0.011732840054975083,0.007204983965667145,0.15270594955431546,0.21250043351173253,0.1923403281850008,0.18117884403173617,0.05663002081242635,0.04323225119198728,0.01375271672426377,0.04571504730403156,0.04357143682725654,0.0,0.00465488017320448,0.0,0.0
p__Planctomycetes(11994),0.012189599036014619,0.001570289976543268,0.006278883886636381,0.005795155785725815,0.00375120997615731,0.01424647408537781,0.006052506330222161,0.13335555956059367,0.1876695826009975,0.19812494403918085,0.18016316913016214,0.06506092033896269,0.08154304797580383,0.008628349981891886,0.05150104464614196,0.032838073489807294,0.0,0.01123118915978092,0.0,0.0
p__Proteobacteria(39574),0.03281187007517322,0.007000743318053936,0.013268040705845332,0.018376878119612024,0.013969293551590432,0.041272549360714936,0.010899709736353513,0.09146799080248509,0.15055359644155197,0.10880928211450096,0.13652487116469716,0.07678027012365105,0.07656898669594839,0.029412468402418606,0.1208181094449277,0.06364567401050228,0.0,0.007819665931973434,0.0,0.0
p__Verrucomicrobia(6074),0.019418816197742918,0.0029170743105859185,0.008526561532262993,0.014773878645072215,0.019859427340665085,0.03715162989717829,0.01122734939042941,0.1203787788846818,0.17033758289437048,0.17496690316739177,0.124537569762714,0.06767053977939391,0.06106553288627541,0.017725208499308736,0.09888812524831436,0.04620968159536689,0.0,0.0043453399682457,0.0,0.0
p__GN04(331),0.0,0.0020140986908358514,0.0007552870090634442,0.0,0.0,0.0,0.0,0.08960573199758427,0.019143825931052526,0.2738047122886895,0.46515628449239854,0.016916253215024744,0.036433263079057844,0.0,0.043250175647828966,0.04687807157595678,0.0,0.006042296072507554,0.0,0.0
p__OP8(346),0.0,0.011909349481603814,0.0,0.0,0.0,0.0,0.0014450867052023119,0.044318414271513625,0.020556502457487635,0.30550622992004606,0.44822764743851756,0.005425735261792666,0.02599661615727579,0.005780346820809247,0.07776184548552464,0.04398882385324071,0.0,0.00908340214698596,0.0,0.0
p__WS3(1119),0.001929632165768407,0.0017873100983020558,0.0001276650070215754,0.0,0.0,0.008927894949763693,3.7235627047959494e-05,0.12023562696408362,0.17532888513068293,0.22771330179981242,0.30766052376917963,0.02839839356711187,0.040394607038548226,0.0006963791628575918,0.04546290737827287,0.031102660874463603,0.0,0.010196976467083707,0.0,0.0
p__Crenarchaeota(995),0.008627007188555021,0.0044058837725701435,0.002185926303281029,0.0012756160317496407,2.8061516225226334e-05,0.0059689640247750815,0.003064783394839804,0.05595728868327842,0.09628747485612055,0.4011538840768418,0.23100255150056825,0.021171321836987906,0.05590590978336547,0.014762973193567142,0.039143274076541945,0.0436748836478931,0.0,0.015384196112839324,0.0,0.0
p__WWE1(84),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05583900226757369,0.02834467120181406,0.16284013605442177,0.3961167800453515,0.017857142857142856,0.05546107331821618,0.03571428571428571,0.133078231292517,0.11474867724867725,0.0,0.0,0.0,0.0
p__[Parvarchaeota](1695),0.00014749262536873156,0.0011799410029498525,0.0011799410029498525,0.0,0.0,0.0,0.0,0.09512618661780281,0.02789636695985403,0.22477840956910836,0.38071468401430475,0.00823362150795779,0.10223125917927733,0.0011799410029498525,0.10229854657756794,0.04097264632142301,0.0,0.014060963618485744,0.0,0.0
p__NKB19(221),0.0023301233708473523,0.0,0.0022624434389140274,0.0,0.0,0.0,0.0022624434389140274,0.10988368831062471,0.048359629900753126,0.29322421926893577,0.35835340710906327,0.029189353810061817,0.08903253609135962,0.00904977375565611,0.044508533196316,0.01154384830855419,0.0,0.0,0.0,0.0
p__WS2(81),0.0005144032921810699,0.0,0.0,0.0,0.0,0.0,0.0,0.11876703543370208,0.10513468013468011,0.32470204692426907,0.29223985890652554,0.018518518518518514,0.05822163433274543,0.0,0.06751910640799529,0.014382716049382713,0.0,0.0,0.0,0.0
p__WS5(28),0.0,0.0,0.0,0.0,0.0010504201680672268,0.0,0.0,0.14893745959922428,0.13728856927386338,0.06943367090425913,0.10228399051928462,0.02554675716440422,0.10745035193564602,0.0,0.4073219672484378,0.0006868131868131868,0.0,0.0,0.0,0.0
p__OP11(375),0.0,0.0,0.0,0.0,0.0013333333333333335,0.004000000000000001,0.0,0.17377723524039312,0.08397334751018964,0.12825103785103786,0.1365090909090909,0.06795468975468977,0.04223052503052504,0.0,0.3292786768786769,0.032692063492063494,0.0,0.0,0.0,0.0
